cgpa,tenth_percentage,twelfth_percentage,backlogs,study_hours_per_day,attendance_percentage,projects_completed,internships_completed,coding_skill_rating,communication_skill_rating,aptitude_skill_rating,hackathons_participated,certifications_count,sleep_hours,stress_level,part_time_job,family_income_level,city_tier,internet_access,extracurricular_involvement,placement_status,salary_lpa,gender_Female,gender_Male,branch_CE,branch_CSE,branch_ECE,branch_IT,branch_ME,total_skills,academic_score
8.2,77.2,77.9,0,3.5,70.8,3,1,2,4,4,1,2,7.7,6,0,2,0,1,2,1,11.24,0.0,1.0,0.0,0.0,0.0,0.0,1.0,10,79.03333333333335
7.77,60.3,67.5,0,2.9,64.0,8,2,5,2,5,6,5,8.1,2,0,2,2,1,1,1,13.94,1.0,0.0,0.0,0.0,0.0,0.0,1.0,12,68.5
5.81,51.6,53.8,0,2.6,71.9,3,0,2,3,3,3,2,8.2,5,0,1,1,1,2,1,10.77,1.0,0.0,0.0,1.0,0.0,0.0,0.0,8,54.5
7.49,72.7,67.0,0,2.6,75.5,3,2,2,3,4,2,2,6.8,6,0,1,2,1,0,1,11.87,1.0,0.0,0.0,0.0,1.0,0.0,0.0,9,71.53333333333333
8.35,64.3,79.1,0,2.3,66.2,5,3,3,2,4,2,1,6.5,5,0,2,1,1,2,1,12.41,0.0,1.0,0.0,0.0,0.0,0.0,1.0,9,75.63333333333333
8.45,79.4,65.9,0,3.8,73.9,8,2,5,2,4,5,3,6.2,4,0,0,1,1,1,1,16.37,0.0,1.0,0.0,0.0,0.0,1.0,0.0,11,76.60000000000001
8.72,80.3,76.8,0,2.8,60.5,8,4,5,2,5,3,4,6.1,8,0,1,2,1,1,1,15.23,1.0,0.0,1.0,0.0,0.0,0.0,0.0,12,81.43333333333334
7.24,65.4,72.7,0,5.1,73.5,4,2,2,2,4,3,2,7.0,2,0,0,1,1,1,1,13.14,0.0,1.0,0.0,0.0,0.0,1.0,0.0,8,70.16666666666667
9.06,97.4,81.1,0,4.7,77.4,7,3,5,3,4,5,4,6.7,1,0,2,1,1,0,1,16.68,0.0,1.0,1.0,0.0,0.0,0.0,0.0,12,89.7
8.28,78.1,62.8,1,6.2,79.2,2,2,2,2,4,4,4,6.0,2,0,0,0,1,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,8,74.56666666666666
7.68,66.4,65.6,1,5.1,71.3,8,2,5,3,4,6,3,5.6,6,0,0,0,1,1,1,15.42,0.0,1.0,0.0,1.0,0.0,0.0,0.0,12,69.60000000000001
9.32,82.4,89.1,0,5.7,75.5,5,3,3,1,5,1,1,6.9,2,1,1,1,1,0,1,16.76,1.0,0.0,0.0,0.0,0.0,0.0,1.0,9,88.23333333333333
8.68,82.6,72.6,0,2.4,71.5,7,3,4,4,4,4,1,6.5,10,1,1,2,1,0,1,18.21,0.0,1.0,0.0,0.0,0.0,0.0,1.0,12,80.66666666666667
9.68,90.2,84.5,0,5.0,73.5,5,3,5,5,5,3,2,5.6,4,1,1,1,1,1,1,20.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,15,90.5
9.03,80.0,84.2,0,4.5,70.8,8,2,4,3,4,5,1,8.0,6,1,0,0,1,1,1,17.27,0.0,1.0,0.0,0.0,1.0,0.0,0.0,11,84.83333333333333
7.66,74.0,70.4,0,0.1,62.3,4,1,3,3,3,2,3,9.0,8,0,0,1,1,1,1,10.5,0.0,1.0,0.0,0.0,1.0,0.0,0.0,9,73.66666666666667
6.77,55.7,54.3,1,3.9,71.4,8,2,5,5,3,6,1,8.2,9,0,1,1,1,1,1,13.62,0.0,1.0,0.0,0.0,1.0,0.0,0.0,13,59.23333333333333
8.7,82.8,69.5,0,2.0,71.1,7,2,5,1,4,6,1,6.1,9,0,2,1,0,2,1,18.1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,10,79.76666666666667
8.02,69.9,68.8,0,1.0,60.3,3,2,3,1,3,2,4,6.9,8,0,2,2,1,0,1,17.42,1.0,0.0,0.0,1.0,0.0,0.0,0.0,7,72.96666666666665
7.43,70.2,68.1,0,3.4,72.2,6,1,4,4,3,5,3,8.8,6,0,1,2,1,2,1,17.28,1.0,0.0,0.0,0.0,0.0,1.0,0.0,11,70.86666666666667
8.2,82.9,75.2,0,2.7,61.9,6,3,3,2,4,3,3,5.6,8,0,2,0,1,1,1,17.13,1.0,0.0,0.0,1.0,0.0,0.0,0.0,9,80.03333333333335
6.56,50.0,65.3,1,2.5,68.2,6,1,4,4,3,6,1,7.9,9,0,1,2,1,2,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,11,60.29999999999999
9.28,81.8,74.0,0,1.1,70.4,7,3,5,5,5,4,8,5.3,4,0,1,1,1,1,1,20.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,15,82.86666666666667
8.29,63.7,77.0,0,7.6,71.9,8,2,5,2,3,6,4,9.0,4,1,1,2,0,1,1,15.23,1.0,0.0,0.0,0.0,0.0,0.0,1.0,10,74.53333333333332
6.85,64.8,59.1,0,1.5,66.7,8,1,5,2,3,6,5,6.5,6,0,1,0,1,2,1,14.72,0.0,1.0,0.0,0.0,1.0,0.0,0.0,10,64.13333333333334
9.53,91.6,85.0,0,3.3,68.1,7,3,5,5,5,4,3,9.0,8,0,1,1,1,1,1,19.77,0.0,1.0,0.0,1.0,0.0,0.0,0.0,15,90.63333333333333
6.89,58.7,65.0,0,5.4,76.0,7,4,5,3,3,6,3,9.0,7,0,1,0,0,1,1,12.47,0.0,1.0,0.0,0.0,0.0,0.0,1.0,11,64.2
8.47,78.4,83.4,0,6.0,76.2,3,2,2,4,5,1,1,6.9,9,1,1,1,1,2,1,12.77,0.0,1.0,0.0,0.0,1.0,0.0,0.0,11,82.16666666666667
8.11,74.6,72.8,0,1.8,65.6,7,4,4,5,4,5,2,6.1,6,1,0,0,1,1,1,19.19,0.0,1.0,0.0,0.0,0.0,1.0,0.0,13,76.16666666666666
6.84,63.3,62.1,0,3.6,73.3,1,2,2,5,3,1,2,7.2,9,0,0,0,1,1,1,10.4,0.0,1.0,0.0,0.0,0.0,1.0,0.0,10,64.60000000000001
8.1,76.2,75.9,0,5.1,68.5,6,2,4,4,4,4,3,6.8,6,0,1,0,1,1,1,17.2,1.0,0.0,0.0,0.0,1.0,0.0,0.0,12,77.7
6.32,59.6,58.1,0,4.6,76.6,2,1,1,5,2,1,2,6.5,10,0,0,0,1,1,1,7.63,0.0,1.0,0.0,0.0,1.0,0.0,0.0,8,60.300000000000004
7.64,66.5,72.4,0,4.8,82.4,5,3,3,3,4,5,2,5.0,4,0,0,0,0,2,1,16.09,0.0,1.0,1.0,0.0,0.0,0.0,0.0,10,71.76666666666667
6.09,53.0,65.5,0,1.6,63.6,5,1,3,4,2,3,4,6.4,6,0,1,1,1,1,1,12.29,0.0,1.0,0.0,1.0,0.0,0.0,0.0,9,59.800000000000004
8.92,72.8,95.3,0,2.3,64.0,6,4,4,5,4,2,4,5.7,6,0,1,0,1,1,1,18.17,0.0,1.0,0.0,0.0,1.0,0.0,0.0,13,85.76666666666667
7.76,59.2,69.6,0,3.7,70.1,5,2,4,2,4,4,2,7.7,5,0,1,1,1,0,1,15.12,1.0,0.0,0.0,0.0,1.0,0.0,0.0,10,68.8
7.16,64.3,73.9,1,3.4,71.5,6,0,4,4,3,3,2,8.2,5,0,1,0,1,1,1,13.64,0.0,1.0,0.0,0.0,0.0,1.0,0.0,11,69.93333333333332
8.9,88.6,78.2,1,4.3,69.1,8,2,5,5,5,6,4,7.9,1,0,2,2,1,2,1,19.62,1.0,0.0,0.0,1.0,0.0,0.0,0.0,15,85.26666666666667
6.1,50.0,51.2,0,1.9,68.6,1,0,1,3,4,1,2,7.4,10,0,2,2,1,1,1,8.99,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8,54.06666666666666
7.86,67.8,60.2,1,6.0,87.8,5,2,4,2,4,3,2,6.0,6,1,2,0,1,1,1,11.1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,10,68.86666666666667
8.53,77.1,77.8,0,1.6,73.2,7,4,5,3,4,5,3,7.2,10,0,1,1,1,0,1,18.31,0.0,1.0,0.0,0.0,1.0,0.0,0.0,12,80.06666666666666
6.92,60.6,61.1,0,4.5,78.3,4,2,2,5,3,4,3,8.0,9,0,1,0,1,2,1,13.97,1.0,0.0,0.0,1.0,0.0,0.0,0.0,10,63.63333333333333
7.69,69.1,69.6,0,2.4,71.9,4,2,3,2,4,5,8,6.3,8,0,2,2,1,0,1,18.7,1.0,0.0,0.0,0.0,0.0,1.0,0.0,9,71.86666666666666
7.34,67.8,66.7,1,3.5,76.4,3,3,1,4,4,2,1,7.1,8,0,0,1,1,0,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,9,69.3
5.97,54.8,54.3,1,1.1,63.4,2,0,1,2,2,0,1,6.8,3,0,0,0,1,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5,56.26666666666666
7.09,59.0,64.8,0,3.7,64.0,3,0,2,3,5,2,3,9.0,9,0,1,1,1,0,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,10,64.89999999999999
7.74,64.4,59.3,2,5.3,80.8,1,3,2,1,5,1,3,8.0,9,0,0,0,1,0,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,8,67.03333333333335
8.8,80.3,73.5,0,6.5,72.1,8,3,5,5,5,6,0,7.7,10,0,2,1,1,0,1,18.4,0.0,1.0,0.0,0.0,1.0,0.0,0.0,15,80.60000000000001
9.44,78.2,85.8,0,3.8,68.6,5,3,5,1,4,4,4,4.9,9,0,1,1,1,2,1,20.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,10,86.13333333333333
7.98,77.2,64.3,0,1.6,67.5,1,2,2,5,4,3,1,7.2,6,0,1,1,1,2,1,14.28,1.0,0.0,0.0,1.0,0.0,0.0,0.0,11,73.76666666666667
8.54,78.3,79.7,0,5.6,72.5,5,3,4,1,4,3,2,6.8,9,0,1,1,1,1,1,18.35,0.0,1.0,0.0,0.0,0.0,1.0,0.0,9,81.13333333333333
9.2,88.4,80.4,0,4.7,83.8,8,1,5,2,5,5,3,6.8,6,0,1,0,1,0,1,17.57,0.0,1.0,0.0,1.0,0.0,0.0,0.0,12,86.93333333333334
8.68,80.7,76.6,1,3.7,69.0,8,3,5,2,4,5,1,5.1,5,0,0,0,1,1,1,17.11,0.0,1.0,0.0,1.0,0.0,0.0,0.0,11,81.36666666666667
7.35,65.8,67.5,2,2.9,62.5,6,1,4,4,3,4,3,5.7,8,0,1,0,1,1,1,15.23,0.0,1.0,0.0,0.0,1.0,0.0,0.0,11,68.93333333333334
7.94,76.5,75.7,1,3.8,72.9,8,4,5,2,4,6,4,6.9,2,0,1,2,1,1,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,11,77.2
9.2,82.7,85.6,0,4.1,68.6,8,0,5,2,5,5,3,8.3,2,0,1,0,1,1,1,16.56,1.0,0.0,0.0,1.0,0.0,0.0,0.0,12,86.76666666666667
9.0,79.0,80.0,0,5.6,74.7,1,2,2,1,4,2,2,6.3,7,0,1,1,1,2,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,7,83.0
8.17,65.3,75.8,0,2.3,69.6,6,1,4,5,4,4,0,6.5,8,0,0,1,1,0,1,14.84,0.0,1.0,0.0,1.0,0.0,0.0,0.0,13,74.26666666666667
7.56,67.3,64.7,1,2.6,71.7,7,2,5,2,4,5,6,9.0,7,0,0,0,1,1,1,15.72,0.0,1.0,0.0,1.0,0.0,0.0,0.0,11,69.2
9.93,85.4,81.8,0,3.5,73.3,7,3,5,2,5,6,3,6.6,5,0,0,1,1,1,1,19.59,1.0,0.0,0.0,1.0,0.0,0.0,0.0,12,88.83333333333333
7.23,61.4,57.2,0,1.3,63.4,8,1,5,3,4,3,3,6.8,4,0,1,1,1,0,1,13.26,1.0,0.0,0.0,0.0,0.0,1.0,0.0,12,63.63333333333333
8.35,72.6,74.1,0,5.4,69.3,4,3,3,1,4,4,3,6.9,8,0,2,1,1,1,1,16.65,0.0,1.0,0.0,1.0,0.0,0.0,0.0,8,76.73333333333333
9.66,89.5,88.2,0,5.2,78.2,7,4,5,2,5,4,1,5.4,10,0,2,1,1,2,1,20.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,12,91.43333333333332
8.55,71.8,73.7,2,4.6,74.3,8,2,5,2,5,4,3,7.7,7,0,1,1,1,2,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,12,77.0
9.22,76.4,78.5,0,8.8,87.0,5,1,4,4,4,3,3,6.2,1,0,1,1,1,1,1,18.52,0.0,1.0,0.0,0.0,0.0,1.0,0.0,12,82.36666666666667
8.95,71.6,77.4,0,5.4,73.0,8,1,5,3,5,6,3,7.0,4,0,1,1,1,1,1,19.01,0.0,1.0,0.0,1.0,0.0,0.0,0.0,13,79.5
7.84,72.7,67.5,1,6.7,81.3,2,1,1,5,4,2,2,7.5,4,0,0,1,0,2,1,7.68,0.0,1.0,0.0,0.0,1.0,0.0,0.0,10,72.86666666666666
8.17,76.9,69.0,1,4.1,69.4,5,0,4,1,3,2,2,9.0,10,0,0,0,1,1,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,8,75.86666666666667
8.44,73.3,77.3,1,2.9,70.0,3,3,1,5,5,1,4,5.4,6,1,2,1,0,0,1,15.69,0.0,1.0,0.0,0.0,1.0,0.0,0.0,11,78.33333333333333
9.0,78.6,81.3,0,1.1,54.4,4,3,2,2,4,2,2,8.0,4,0,1,0,1,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8,83.3
9.94,93.8,100.0,0,4.6,81.7,7,3,4,4,5,4,2,8.0,9,0,2,0,1,1,1,16.91,0.0,1.0,0.0,0.0,0.0,0.0,1.0,13,97.73333333333333
7.93,70.6,69.6,0,5.1,76.3,4,3,3,3,4,1,3,6.2,2,1,1,1,1,1,1,14.52,0.0,1.0,0.0,0.0,1.0,0.0,0.0,10,73.16666666666667
10.0,91.9,87.7,0,5.9,75.7,8,4,5,1,5,5,1,7.7,2,0,1,2,1,1,1,20.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,11,93.2
8.85,80.8,84.3,0,3.0,67.2,6,3,5,3,5,6,3,9.0,7,0,0,2,1,0,1,20.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,13,84.53333333333333
9.38,79.4,83.1,0,5.3,82.4,4,4,2,3,4,2,1,6.1,10,1,0,0,1,1,1,18.56,0.0,1.0,0.0,0.0,1.0,0.0,0.0,9,85.43333333333334
6.59,61.4,52.9,0,1.4,59.2,5,1,4,3,3,4,3,7.3,7,0,1,1,1,0,1,12.05,1.0,0.0,0.0,1.0,0.0,0.0,0.0,10,60.06666666666666
7.9,71.9,75.1,0,4.2,69.7,6,3,5,5,4,4,3,7.5,1,0,1,1,1,0,1,18.43,0.0,1.0,1.0,0.0,0.0,0.0,0.0,14,75.33333333333333
8.68,75.3,76.1,0,5.1,69.5,6,3,4,3,5,4,3,7.6,8,1,0,0,1,1,1,17.61,0.0,1.0,0.0,0.0,0.0,1.0,0.0,12,79.39999999999999
8.9,78.4,86.6,0,5.3,76.6,7,0,5,2,5,6,2,7.9,6,0,0,2,0,1,1,15.67,0.0,1.0,0.0,0.0,0.0,1.0,0.0,12,84.66666666666667
8.42,68.9,80.4,0,5.6,79.6,3,2,2,2,4,2,3,7.2,1,0,0,2,1,1,1,15.97,0.0,1.0,0.0,0.0,0.0,1.0,0.0,8,77.83333333333333
8.42,79.8,86.9,1,5.1,76.4,5,2,3,2,4,4,7,7.6,1,0,1,2,1,1,1,14.79,1.0,0.0,0.0,0.0,0.0,0.0,1.0,9,83.63333333333333
7.36,67.2,63.4,0,4.2,75.0,3,1,2,4,3,1,1,5.9,4,0,1,0,1,1,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,9,68.06666666666666
8.18,74.3,73.6,0,6.5,84.8,8,3,5,4,4,5,3,7.2,7,1,0,0,1,1,1,18.61,1.0,0.0,0.0,1.0,0.0,0.0,0.0,13,76.56666666666666
8.02,72.6,68.3,0,3.9,71.0,6,1,4,3,4,4,2,6.4,4,0,0,2,1,1,1,14.47,1.0,0.0,0.0,0.0,0.0,0.0,1.0,11,73.69999999999999
7.85,72.6,68.6,0,4.0,67.6,6,1,4,1,4,4,3,5.5,7,1,0,1,1,1,1,13.01,1.0,0.0,0.0,0.0,1.0,0.0,0.0,9,73.23333333333333
7.9,63.6,70.3,0,7.2,77.0,0,2,1,4,4,3,2,6.4,6,0,1,2,1,0,1,13.6,0.0,1.0,0.0,0.0,1.0,0.0,0.0,9,70.96666666666667
9.54,99.6,75.3,0,0.0,56.1,7,4,5,5,5,5,0,7.3,9,0,0,0,1,1,1,20.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,15,90.09999999999998
9.83,92.1,91.8,0,5.2,81.4,3,3,3,2,5,4,4,7.5,1,0,1,1,1,1,1,19.84,0.0,1.0,0.0,1.0,0.0,0.0,0.0,10,94.06666666666666
9.22,84.8,84.9,0,5.2,79.3,2,3,2,3,4,1,3,5.5,4,0,0,1,1,0,1,14.67,1.0,0.0,0.0,0.0,1.0,0.0,0.0,9,87.3
8.72,87.7,91.4,2,3.2,57.2,7,2,5,5,4,6,2,5.9,10,0,0,0,0,0,1,18.84,1.0,0.0,0.0,0.0,0.0,1.0,0.0,14,88.76666666666667
8.47,78.0,77.8,0,4.0,73.3,8,4,5,5,4,5,3,7.9,8,0,2,1,0,1,1,20.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,14,80.16666666666667
10.0,99.6,81.3,0,4.0,74.5,7,4,4,1,5,5,3,7.6,6,0,1,1,1,1,1,19.4,0.0,1.0,0.0,0.0,1.0,0.0,0.0,10,93.63333333333333
7.54,78.5,71.3,0,3.6,67.2,4,3,3,2,4,3,3,8.1,6,0,0,0,1,2,1,15.16,0.0,1.0,0.0,0.0,0.0,1.0,0.0,9,75.06666666666668
6.03,61.1,53.3,0,3.9,69.7,3,4,1,2,3,0,2,8.6,8,0,2,0,1,2,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,6,58.23333333333334
7.81,70.3,68.2,0,4.8,69.5,2,3,1,4,4,2,1,7.6,2,0,1,1,1,1,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,9,72.2
6.47,57.9,57.7,0,2.8,62.2,7,0,5,4,2,4,5,6.5,2,0,2,1,1,0,1,10.82,1.0,0.0,0.0,1.0,0.0,0.0,0.0,11,60.1
7.37,64.5,71.6,2,4.0,69.4,3,1,1,5,4,1,1,7.1,1,0,1,2,1,2,1,7.97,0.0,1.0,0.0,0.0,1.0,0.0,0.0,10,69.93333333333334
7.38,70.5,68.2,0,1.3,72.0,3,1,2,5,4,1,4,9.0,7,1,1,1,1,1,1,11.65,0.0,1.0,0.0,0.0,0.0,1.0,0.0,11,70.83333333333333
8.13,68.0,84.7,0,2.8,65.0,4,1,3,5,5,1,3,9.0,6,0,2,0,1,1,1,11.41,0.0,1.0,0.0,0.0,0.0,0.0,1.0,13,78.0
9.12,81.3,79.5,0,1.8,64.2,2,2,2,2,4,2,2,7.6,6,0,0,2,1,1,1,14.68,0.0,1.0,0.0,0.0,1.0,0.0,0.0,8,84.0
10.0,79.1,92.0,0,4.3,68.4,6,3,4,5,5,6,3,7.6,2,0,1,2,1,2,1,19.37,0.0,1.0,0.0,1.0,0.0,0.0,0.0,14,90.36666666666667
8.33,69.8,75.7,1,1.9,56.0,4,3,3,2,4,2,1,7.9,7,0,1,0,1,0,1,15.87,0.0,1.0,0.0,1.0,0.0,0.0,0.0,9,76.26666666666667
6.81,61.8,55.7,0,1.2,62.7,5,2,4,4,4,3,3,7.0,4,1,0,2,1,2,1,13.02,1.0,0.0,0.0,0.0,0.0,1.0,0.0,12,61.86666666666667
7.69,72.1,65.3,0,1.2,68.3,6,2,5,1,4,5,7,8.4,2,1,0,0,1,0,1,15.49,0.0,1.0,0.0,0.0,1.0,0.0,0.0,10,71.43333333333332
8.05,77.5,76.7,2,1.9,67.7,5,4,3,4,4,3,3,8.2,1,0,0,0,1,2,1,12.23,0.0,1.0,0.0,0.0,0.0,0.0,1.0,11,78.23333333333333
8.11,73.4,71.5,0,6.1,75.7,4,1,3,2,4,2,2,7.4,9,0,1,0,1,2,1,15.44,1.0,0.0,0.0,1.0,0.0,0.0,0.0,9,75.33333333333333
7.6,65.6,71.5,0,7.1,83.9,6,0,3,2,4,2,4,6.6,3,0,1,0,1,2,1,10.1,0.0,1.0,0.0,0.0,0.0,0.0,1.0,9,71.03333333333333
9.24,80.2,82.9,0,3.3,67.9,8,1,5,4,4,5,2,5.2,10,0,1,2,1,0,1,19.99,1.0,0.0,0.0,0.0,0.0,1.0,0.0,13,85.16666666666667
6.2,52.5,52.0,0,1.0,56.3,7,0,4,4,3,3,2,7.9,10,1,0,2,1,2,1,8.45,1.0,0.0,0.0,0.0,0.0,0.0,1.0,11,55.5
7.69,79.4,65.7,0,3.4,59.4,8,2,5,2,4,6,0,7.3,7,0,1,2,1,2,1,17.29,0.0,1.0,0.0,1.0,0.0,0.0,0.0,11,74.00000000000001
